X,Y,OBJECTID,ARC_Street,ARC_City,ARC_State,ARC_ZIP,PSC_NUMBER,School_Type,County,School_Name,Grades
-8552649.3466,4745964.171,1922,7335 Oakland Mills Road,Columbia,MD,21046,13.033,Elementary,Howard,Guilford Elementary School,PreK-5
-8528263.8107,4771066.6441,1923,4520 York Road,Baltimore,MD,21212,30.077,PreK-8,Baltimore City,Guilford Elementary/Middle School # 214,PreK-8
-8512549.3688,4781321.7141,1924,9540 Holiday Manor Road,Nottingham,MD,21236,3.108,Elementary,Baltimore,Gunpowder Elementary School,K-5
-8557252.016,4679069.0276,1925,13800 Brandywine Road,Brandywine,MD,20613,16.001,High,Prince George's,Gwynn Park High School,9-12
-8556927.8999,4679750.603,1926,8000 Dyson Road,Brandywine,MD,20613,16.211,Middle,Prince George's,Gwynn Park Middle School,6-8
-8534096.8861,4767140.2442,1927,2700 Gwynns Falls East,Baltimore,MD,21216,30.261,Elementary,Baltimore City,Gwynns Falls Elementary School # 060,PreK-5
-8555321.3272,4703765.0978,1928,8801 Ritchie Drive,Capitol Heights,MD,20743,16.017,Special Education,Prince George's,H.Winship Wheatley Early Childhood Center,PreK
-8536524.8292,4756443.0396,1929,4300 Maple Avenue,Halethorpe,MD,21227,3.005,Elementary,Baltimore,Halethorpe Elementary School,PreK-5
-8478855.314,4795120.7579,1930,203 East Bel Air Avenue,Aberdeen,MD,21001,12.036,Elementary,Harford,Halls Cross Roads Elementary School,PreK-5
-8524088.0281,4775727.5977,1931,1111 Halstead Road,Baltimore,MD,21234,3.186,Elementary,Baltimore,Halstead Academy,PreK-5
-8522063.1499,4772000.0004,1932,5609 Sefton Avenue,Baltimore,MD,21214,30.021,Middle/High,Baltimore City,Hamilton Building # 041,"K-6; 9-11"
-8522336.5691,4773344.9392,1933,6101 Old Harford Road,Baltimore,MD,21214,30.096,PreK-8,Baltimore City,Hamilton Elementary/Middle School  # 236,PreK-8
-8558061.7661,4742907.7406,1934,8110 Aladdin Drive,Laurel,MD,20723,13.064,Elementary,Howard,Hammond Elementary School,K-5
-8556078.5653,4745706.0314,1935,8800 Guilford Road,Columbia,MD,21046,13.016,High,Howard,Hammond High School,9-12
-8558061.7661,4742907.7406,1936,8110 Aladdin Drive,Laurel,MD,20723,13.076,Middle,Howard,Hammond Middle School,6-8
-8530401.1645,4769354.8129,1937,3608 Chestnut Avenue,Baltimore,MD,21211,30.03,PreK-8,Baltimore City,Hampden Elementary/Middle School #055,PreK-8
-8556270.3025,4808305.3666,1938,3737 Shiloh Road,Hampstead,MD,21074,6.022,Elementary,Carroll,Hampstead Elementary School,PreK-5
-8524399.7663,4762734.3957,1939,500 South Linwood Avenue,Baltimore,MD,21224,30.025,PreK-8,Baltimore City,Hampstead Hill Acad. Elementary/Middle School # 047,PreK-8
-8527409.3768,4781527.0106,1940,1115 Charmuth Road,Lutherville,MD,21093,3.168,Elementary,Baltimore,Hampton Elementary School,PreK-5
-8704742.3917,4822438.0711,1941,290 West Main Street,Hancock,MD,21750,21.015,Elementary,Washington,Hancock Elementary School,PreK-5
-8704823.6723,4822034.3721,1942,289 West Main Street,Hancock,MD,21750,21.025,Middle/High,Washington,Hancock Middle/High School,6-12
-8530872.414,4763629.3589,1943,1001 West Saratoga Street,Baltimore,MD,21223,30.213,High,Baltimore City,Harbor City Building - West #413,9-12
-8526402.2593,4766663.114,1944,1919 North Broadway,Baltimore,MD,21213,30.273,Elementary,Baltimore City,Harford Heights #037,PreK-5
-8526402.2593,4766663.114,1945,1919 North Broadway,Baltimore,MD,21213,30.019,Elementary,Baltimore City,Harford Heights Building #036,PreK-5
-8520031.9006,4779124.6153,1946,8902 Old Harford Road,Baltimore,MD,21234,3.137,Elementary,Baltimore,Harford Hills Elementary School,PreK-5
-8492173.9226,4802225.5243,1947,200 Thomas Run Road,Bel Air,MD,21015,12.008,CareerTech,Harford,Harford Tech High School,9-12
-8531685.6089,4764328.6399,1948,1500 Harlem Avenue,Baltimore,MD,21217,30.274,High,Baltimore City,Harlem Park Building #078,9-12
-8531607.7608,4764502.2949,1949,1401 West Lafayette Avenue,Baltimore,MD,21217,30.277,PreK-8,Baltimore City,Harlem Park Elementary/Middle School # 035,PreK-8
-8579967.3424,4732692.3764,1950,13407 Lydia Street,Silver Spring,MD,20906,15.05,Elementary,Montgomery,Harmony Hills Elementary School,HS-5
-8559126.3714,4753898.9127,1951,5450 Beaverkill Road,Columbia,MD,21044,13.003,Middle,Howard,Harpers Choice Middle School,6-8
-8471202.9224,4799615.448,1952,600 Juniata Street,Havre De Grace,MD,21078,12.028,Elementary,Harford,Havre de Grace Elementary School,PreK-5
-8470975.6493,4800351.0241,1953,700 Congress Avenue,Havre De Grace,MD,21078,12.005,High,Harford,Havre de Grace High School,9-12
-8471345.3939,4799917.7416,1954,401 Lewis Lane,Havre De Grace,MD,21078,12.039,Middle,Harford,Havre de Grace Middle School,6-8
-8508950.1568,4768498.6318,1955,125 Kingston Road,Baltimore,MD,21220,3.152,Elementary,Baltimore,Hawthorne Elementary School,PreK-5
-8520282.2184,4770239.5836,1956,4517 Hazelwood Avenue,Baltimore,MD,21206,30.189,PreK-8,Baltimore City,Hazelwood Elementary/Middle School # 210,PreK-8
-8541740.4305,4714767.5797,1957,12605 Heming Lane,Bowie,MD,20716,16.132,Elementary,Prince George's,Heather Hills Elementary School,2-5
-8617620.7094,4784581.7126,1958,1445 Taney Avenue,Frederick,MD,21702,10.065,Alternate,Frederick,Heather Ridge,6-12
-8544018.5774,4771239.6324,1959,3335 Washington Avenue,Baltimore,MD,21244,3.104,Elementary,Baltimore,Hebbville Elementary School,PreK-5
-8585640.9927,4661833.0584,1960,3000 Chickamuxen Road,Indian Head,MD,20640,8.039,High,Charles,Henry E. Lackey High School,9-12
-8569267.2087,4676936.5635,1961,14500 Berry Road,Accokeek,MD,20607,16.172,Elementary,Prince George's,Accokeek Academy Annex (H. Ferguson)                        ,K-4
-8533735.8294,4808021.2981,1962,17301 York Road,Parkton,MD,21120,3.094,High,Baltimore,Hereford High School,9-12
-8533003.3658,4804059.1995,1963,712 Corbett Road,Monkton,MD,21111,3.097,Middle,Baltimore,Hereford Middle School,6-8
-8552794.27,4775449.1534,1964,9919 Marriottsville Road,Randallstown,MD,21133,3.078,Elementary,Baltimore,Hernwood Elementary School,PreK-5
-8499079.4666,4804934.2592,1965,2100 Conowingo Road,Bel Air,MD,21014,12.041,Elementary,Harford,Hickory Elementary School,K-5
-8658007.2304,4810736.6909,1966,11101 Hickory School Road,Williamsport,MD,21795,21.004,Elementary,Washington,Hickory Elementary School,PreK-5
-8546309.0098,4719792.9749,1967,7011 High Bridge Road,Bowie,MD,20720,16.058,Elementary,Prince George's,High Bridge Elementary School,K-5
-8520398.0399,4742330.8804,1968,924 Duvall Highway,Pasadena,MD,21122,2.015,Elementary,Anne Arundel,High Point Elementary School,PreK-5
-8565352.5413,4727751.3302,1969,3601 Powder Mill Road,Beltsville,MD,20705,16.085,High,Prince George's,High Point High School,9-12
-8578754.2577,4728996.9432,1970,3100 Medway Street,Silver Spring,MD,20902,15.122,Elementary,Montgomery,Highland Elementary School,HS-5
-8559764.5531,4707883.5592,1971,6501 Lowland Drive,Landover,MD,20785,16.192,Elementary,Prince George's,Highland Park Elementary School,PreK-6
-8572700.1129,4722303.2833,1972,9010 Providence Avenue,Silver Spring,MD,20901,15.101,Elementary,Montgomery,Highland View Elementary School,K-5
