the_geom,OBJECTID,BLDG_NUM,PRG_NUM,NAME,ADDRESS,CLASS,GRADES,ZIPCODE,TYPE
POINT (-76.70572458997 39.362309586585),970,241,241,Fallstaff Elementary/Middle,3801 Fallstaff Road,PK - 8,PK - 8,21215,Traditional
POINT (-76.536551491332 39.29277612022),"1,042",405,405,Patterson High,100 Kane Street,9 - 12,9 - 12,21224,Traditional
POINT (-76.704720234411 39.283352983523),"1,024",204,204,Mary E. Rodman Elementary,201 North Bend Road,PK - 5,PK - 5,21229,Traditional
POINT (-76.627654149525 39.252291456266),922,164,164,Arundel Elementary/Middle,2400 Round Road,PK - 8,PK - 8,21225,Traditional
POINT (-76.530739941064 39.285696334322),"1,012",228,228,John Ruhrah Elementary/Middle,6820 Fait Avenue,PK - 8,PK - 8,21224,Traditional
POINT (-76.704691462844 39.283367548524),"1,040",81,81,North Bend Elementary/Middle,181 North Bend Road,PK - 8,PK - 8,21229,Traditional
POINT (-76.598494869097 39.295499962276),"1,088",0,877,P-TECH at Paul Laurence Dunbar High School,1400 Orleans Street,,,21231,
POINT (-76.641380739883 39.297234102788),"1,063",411,364,Bluford Drew Jemison STEM Academy West,1500 Harlem Avenue,6 - 12,6 - 12,21217,Traditional
POINT (-76.541230221164 39.351954207737),983,235,235,Glenmount Elementary/Middle,6211 Walther Avenue,PK - 8,PK - 8,21206,Traditional
POINT (-76.578726924519 39.292382900964),"1,043",327,327,Patterson Park Public Charter,27 N Lakewood Avenue,PK - 8*,PK - 8*,21224,Charter
POINT (-76.649868312178 39.292545466421),"1,019",261,261,Lockerman Bundy Elementary,301 N Pulaski Street,PK - 5,PK - 5,21223,Traditional
POINT (-76.665873767623 39.297593483864),916,145,145,Alexander Hamilton Elementary,800 Poplar Grove Street,PK - 5,PK - 5,21216,Traditional
POINT (-76.597348324156 39.289553166207),947,8,8,City Springs Elementary/Middle,100 S Caroline Street,PK - 8,PK - 8,21231,Charter
POINT (-76.585234725455 39.327778189185),"1,031",44,44,Montebello Elementary/Middle,2040 E 32nd Street,PK - 8,PK - 8,21218,Traditional
POINT (-76.656631044942 39.333323395908),960,254,254,"Dr. Martin Luther King, Jr. Elementary/Middle",3750 Greenspring Avenue,PK - 8,PK - 8,21211,Traditional
